works	cores	time
10k	1	513.945
10k	1	431.3
10k	1	389.445
10k	1	397.927
10k	1	433.818
10k	1	521.853
10k	1	406.269
10k	1	394.06
10k	1	522.677
10k	1	504.17
10k	1	465.178
10k	1	457.243
10k	1	442.836
10k	1	430.31
10k	1	458.548
10k	1	457.79
10k	1	514.074
10k	1	437.39
10k	1	486.465
10k	1	443.319
10k	2	191.598
10k	2	188.872
10k	2	185.042
10k	2	195.233
10k	2	186.616
10k	2	189.392
10k	2	190.847
10k	2	192.985
10k	2	190.511
10k	2	193.778
10k	2	193.118
10k	2	187.888
10k	2	190.173
10k	2	186.148
10k	2	192.832
10k	2	185.648
10k	2	192.421
10k	2	192.887
10k	2	193.097
10k	2	192.041
10k	4	98.786
10k	4	98.907
10k	4	100.384
10k	4	98.663
10k	4	102.958
10k	4	99.289
10k	4	102.458
10k	4	101.595
10k	4	100.429
10k	4	99.77
10k	4	99.969
10k	4	105.457
10k	4	98.099
10k	4	96.872
10k	4	97.295
10k	4	98.583
10k	4	100.229
10k	4	96.417
10k	4	99.816
10k	4	96.362
10k	6	74.492
10k	6	77.932
10k	6	77.077
10k	6	74.2
10k	6	74.057
10k	6	76.83
10k	6	75.115
10k	6	73.647
10k	6	72.939
10k	6	74.459
10k	6	69.727
10k	6	74.742
10k	6	70.665
10k	6	73.117
10k	6	72.342
10k	6	71.491
10k	6	73.376
10k	6	73.306
10k	6	75.612
10k	6	75.567
10k	8	65.657
10k	8	66.306
10k	8	65.342
10k	8	64.779
10k	8	64.395
10k	8	63.567
10k	8	63.822
10k	8	64.199
10k	8	63.45
10k	8	62.563
10k	8	61.482
10k	8	63.71
10k	8	60.555
10k	8	61.555
10k	8	62.423
10k	8	62.347
10k	8	62.89
10k	8	65.01
10k	8	65.569
10k	8	64.823
10k	10	63.17
10k	10	62.983
10k	10	63.604
10k	10	63.597
10k	10	62.913
10k	10	63.089
10k	10	62.916
10k	10	63.378
10k	10	62.393
10k	10	62.718
10k	10	60.093
10k	10	61.625
10k	10	61.155
10k	10	61.309
10k	10	62.295
10k	10	62.298
10k	10	62.45
10k	10	63.056
10k	10	62.946
10k	10	63.645
10k	12	58.182
10k	12	57.954
10k	12	58.332
10k	12	58.356
10k	12	58.122
10k	12	58.876
10k	12	58.566
10k	12	58.484
10k	12	59.079
10k	12	58.625
10k	12	57.764
10k	12	58.758
10k	12	57.903
10k	12	58.02
10k	12	58.044
10k	12	57.931
10k	12	58.12
10k	12	58.16
10k	12	57.996
10k	12	58.063
10k	14	50.214
10k	14	50.341
10k	14	51.108
10k	14	51.037
10k	14	51.318
10k	14	51.433
10k	14	51.329
10k	14	50.776
10k	14	50.951
10k	14	50.794
10k	14	59.087
10k	14	50.62
10k	14	59.208
10k	14	59.264
10k	14	59.277
10k	14	58.986
10k	14	58.641
10k	14	53.618
10k	14	50.586
10k	14	50.604
10k	16	50.981
10k	16	51.034
10k	16	51.077
10k	16	51.076
10k	16	51.078
10k	16	51.282
10k	16	51.022
10k	16	51.146
10k	16	51.041
10k	16	51.19
10k	16	50.964
10k	16	51.221
10k	16	50.893
10k	16	50.682
10k	16	50.849
10k	16	50.895
10k	16	50.799
10k	16	50.817
10k	16	50.901
10k	16	50.833
10k	18	51.537
10k	18	51.231
10k	18	51.45
10k	18	51.519
10k	18	51.424
10k	18	51.572
10k	18	51.483
10k	18	51.344
10k	18	51.444
10k	18	51.805
10k	18	51.608
10k	18	51.477
10k	18	51.451
10k	18	51.444
10k	18	51.399
10k	18	51.456
10k	18	51.544
10k	18	51.543
10k	18	51.326
10k	18	51.554
10k	20	51.917
10k	20	51.87
10k	20	51.943
10k	20	51.971
10k	20	51.922
10k	20	51.893
10k	20	51.945
10k	20	52.025
10k	20	51.985
10k	20	52.181
10k	20	51.877
10k	20	52.086
10k	20	51.943
10k	20	51.959
10k	20	52.054
10k	20	51.966
10k	20	51.959
10k	20	52.001
10k	20	52.013
10k	20	51.956
10k	22	51.957
10k	22	52.201
10k	22	52.138
10k	22	52.178
10k	22	52.134
10k	22	52.116
10k	22	52.049
10k	22	50.992
10k	22	51.927
10k	22	52.106
10k	22	52.13
10k	22	52.379
10k	22	52.173
10k	22	52.032
10k	22	52.136
10k	22	52.129
10k	22	52.019
10k	22	52.204
10k	22	52.106
10k	22	52.176
10k	24	52.367
10k	24	52.525
10k	24	52.208
10k	24	52.49
10k	24	52.419
10k	24	52.54
10k	24	52.332
10k	24	52.308
10k	24	52.196
10k	24	52.376
10k	24	52.268
10k	24	52.431
10k	24	52.191
10k	24	52.523
10k	24	52.261
10k	24	52.386
10k	24	52.436
10k	24	52.318
10k	24	52.319
10k	24	52.402
10k	26	52.601
10k	26	52.395
10k	26	52.196
10k	26	52.272
10k	26	52.419
10k	26	52.347
10k	26	52.569
10k	26	52.565
10k	26	52.638
10k	26	52.45
10k	26	52.454
10k	26	52.364
10k	26	52.36
10k	26	52.473
10k	26	52.52
10k	26	52.382
10k	26	52.488
10k	26	52.436
10k	26	52.342
10k	26	52.385
10k	28	52.557
10k	28	52.508
10k	28	52.538
10k	28	52.444
10k	28	52.474
10k	28	52.211
10k	28	52.429
10k	28	52.459
10k	28	52.545
10k	28	52.492
10k	28	52.606
10k	28	52.174
10k	28	52.616
10k	28	52.467
10k	28	52.568
10k	28	52.477
10k	28	52.594
10k	28	52.868
10k	28	52.426
10k	28	52.748
10k	30	52.367
10k	30	52.568
10k	30	52.497
10k	30	52.593
10k	30	52.675
10k	30	52.68
10k	30	52.428
10k	30	52.616
10k	30	52.396
10k	30	52.437
10k	30	52.54
10k	30	52.44
10k	30	52.679
10k	30	52.664
10k	30	52.447
10k	30	52.762
10k	30	52.639
10k	30	52.501
10k	30	52.72
10k	30	52.571
10k	32	52.827
10k	32	52.889
10k	32	52.775
10k	32	52.697
10k	32	52.647
10k	32	52.618
10k	32	52.6
10k	32	52.826
10k	32	52.622
10k	32	52.718
10k	32	52.673
10k	32	52.631
10k	32	52.717
10k	32	52.589
10k	32	52.643
10k	32	52.682
10k	32	52.632
10k	32	52.607
10k	32	52.75
10k	32	52.689
10k	34	52.472
10k	34	52.447
10k	34	52.717
10k	34	52.864
10k	34	52.853
10k	34	52.795
10k	34	52.687
10k	34	52.741
10k	34	52.751
10k	34	52.843
10k	34	52.472
10k	34	53.029
10k	34	52.791
10k	34	52.566
10k	34	52.832
10k	34	52.64
10k	34	52.7
10k	34	52.934
10k	34	52.8
10k	34	52.706
10k	36	53.108
10k	36	52.703
10k	36	52.746
10k	36	52.735
10k	36	52.71
10k	36	52.689
10k	36	52.908
10k	36	52.889
10k	36	52.263
10k	36	52.7
10k	36	52.834
10k	36	52.899
10k	36	52.842
10k	36	52.79
10k	36	52.517
10k	36	52.698
10k	36	52.823
10k	36	52.552
10k	36	52.65
10k	36	52.738
10k	40	51.171
10k	40	51.119
10k	40	51.239
10k	40	51.072
10k	40	51.255
10k	40	51.201
10k	40	51.345
10k	40	51.091
10k	40	51.257
10k	40	51.246
10k	40	51.303
10k	40	51.303
10k	40	51.248
10k	40	51.202
10k	40	51.219
10k	40	51.241
10k	40	51.226
10k	40	51.199
10k	40	51.311
10k	40	51.217
10k	48	51.545
10k	48	51.617
10k	48	51.505
10k	48	51.593
10k	48	51.47
10k	48	51.601
10k	48	51.415
10k	48	51.437
10k	48	51.501
10k	48	51.666
10k	48	51.522
10k	48	51.534
10k	48	51.391
10k	48	51.582
10k	48	51.693
10k	48	51.603
10k	48	51.428
10k	48	51.65
10k	48	51.526
10k	48	51.493
10k	64	51.996
10k	64	51.939
10k	64	52.079
10k	64	52.045
10k	64	51.939
10k	64	51.855
10k	64	51.973
10k	64	52.013
10k	64	51.954
10k	64	51.952
10k	64	52.09
10k	64	51.966
10k	64	52.138
10k	64	51.894
10k	64	52.034
10k	64	51.901
10k	64	51.894
10k	64	52.017
10k	64	51.738
10k	64	51.986
1k	1	47.812
1k	1	47.063
1k	1	46.942
1k	1	51.155
1k	1	49.534
1k	1	50.376
1k	1	53.084
1k	1	49.4
1k	1	50.245
1k	1	47.571
1k	2	20.329
1k	2	23.427
1k	2	22.994
1k	2	20.068
1k	2	23.316
1k	2	22.227
1k	2	20.153
1k	2	21.428
1k	2	22.935
1k	2	20.113
1k	4	11.918
1k	4	11.892
1k	4	11.251
1k	4	11.781
1k	4	12.052
1k	4	11.134
1k	4	11.481
1k	4	11.529
1k	4	11.858
1k	4	11.168
1k	6	8.248
1k	6	7.828
1k	6	8.187
1k	6	7.79
1k	6	8.534
1k	6	8.017
1k	6	7.961
1k	6	7.762
1k	6	8.061
1k	6	8.127
1k	8	6.141
1k	8	6.057
1k	8	6.34
1k	8	6.346
1k	8	6.286
1k	8	6.206
1k	8	6.27
1k	8	6.473
1k	8	6.168
1k	8	6.243
1k	10	5.512
1k	10	5.519
1k	10	5.556
1k	10	5.629
1k	10	5.623
1k	10	5.424
1k	10	5.535
1k	10	5.498
1k	10	5.436
1k	10	5.526
